,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Castro,-24.7911,-50.0119,56.53,91,75,7.78,BR,1638609499
1,Necochea,-38.5473,-58.7368,46.04,78,1,8.12,AR,1638609661
2,Ust-Nera,64.5667,143.2,-37.39,99,69,3.44,RU,1638609497
3,Martapura,-3.4167,114.85,86.09,74,40,6.91,ID,1638609661
4,Albany,42.6001,-73.9662,31.68,76,65,2.48,US,1638609489
5,Geraldton,-28.7667,114.6,81.01,50,0,21.85,AU,1638609514
6,Kahului,20.8947,-156.47,71.83,77,75,16.11,US,1638609506
7,Ushuaia,-54.8,-68.3,46.06,53,20,9.22,AR,1638609315
8,Cape Town,-33.9258,18.4232,71.11,52,0,5.99,ZA,1638609482
9,Airai,-8.9266,125.4092,65.07,92,100,0.16,TL,1638609500
10,Mattru,7.6244,-11.8332,79.32,86,82,1.81,SL,1638609662
11,Keminmaa,65.8596,24.8228,6.57,92,0,6.91,FI,1638609395
12,Bathsheba,13.2167,-59.5167,79.41,78,40,17.27,BB,1638609525
13,Arraial do Cabo,-22.9661,-42.0278,69.66,88,0,4.61,BR,1638609505
14,Itamaracá,-7.7478,-34.8256,82.45,81,79,8.95,BR,1638609662
15,Punta Arenas,-53.15,-70.9167,46.11,87,89,10.18,CL,1638609488
16,Butaritari,3.0707,172.7902,83.14,76,34,15.95,KI,1638609487
17,Nanning,22.8167,108.3167,70.25,35,64,3.74,CN,1638609662
18,Port Blair,11.6667,92.75,81.25,78,23,12.86,IN,1638609510
19,Canyon,34.9803,-101.9188,41.68,71,4,10.69,US,1638609662
20,Bethel,41.3712,-73.414,36.05,74,90,0.0,US,1638609500
21,Karachi,24.9056,67.0822,82.22,16,0,6.91,PK,1638609602
22,Amapá,1.0,-52.0,70.41,100,100,1.99,BR,1638609663
23,Bredasdorp,-34.5322,20.0403,67.28,59,100,14.97,ZA,1638609494
24,Kargil,34.5667,76.1,27.3,54,5,1.79,IN,1638609663
25,Lüderitz,-26.6481,15.1594,65.89,67,37,19.28,NA,1638609522
26,Saint-Philippe,-21.3585,55.7679,88.11,72,11,13.22,RE,1638609490
27,Zhuhai,22.2769,113.5678,72.86,39,0,3.44,CN,1638609663
28,Suez,29.9737,32.5263,69.39,40,100,2.04,EG,1638609570
29,Kiunga,-6.1219,141.2906,76.91,96,100,0.31,PG,1638609517
30,Daru,-9.0763,143.2092,81.79,80,100,8.93,PG,1638609426
31,Busselton,-33.65,115.3333,88.09,38,8,13.89,AU,1638609498
32,Zaysan,47.4667,84.8667,28.36,92,51,0.98,KZ,1638609663
33,Sisimiut,66.9395,-53.6735,22.82,56,100,13.35,GL,1638609663
34,Shubarkuduk,49.1447,56.4872,37.13,73,100,9.46,KZ,1638609663
35,Hong Kong,22.2855,114.1577,70.18,43,72,8.99,HK,1638609482
36,Mahébourg,-20.4081,57.7,84.49,65,75,11.5,MU,1638609493
37,Aksay,47.26,39.87,53.55,70,100,11.99,RU,1638609664
38,Severo-Kuril'sk,50.6789,156.125,36.52,98,100,3.58,RU,1638609529
39,Rakiv Lis,51.6217,24.9243,33.93,41,94,12.39,UA,1638609664
40,Dikson,73.5069,80.5464,-23.76,98,32,7.2,RU,1638609504
41,Port Alfred,-33.5906,26.891,69.13,78,100,15.84,ZA,1638609497
42,Del Rio,29.3627,-100.8968,66.31,82,1,6.91,US,1638609664
43,Faanui,-16.4833,-151.75,81.19,69,9,17.9,PF,1638609493
44,Iracoubo,5.4802,-53.2011,76.44,91,100,7.76,GF,1638609664
45,Kalmunai,7.4167,81.8167,83.05,75,53,8.5,LK,1638609502
46,Jinsha,32.0898,121.0735,53.98,45,49,2.66,CN,1638609664
47,Port-Gentil,-0.7193,8.7815,80.64,80,100,9.26,GA,1638609506
48,Rikitea,-23.1203,-134.9692,76.08,76,16,14.7,PF,1638609490
49,Port Elizabeth,-33.918,25.5701,70.11,82,90,12.66,ZA,1638609440
50,Jamestown,42.097,-79.2353,36.72,92,90,4.0,US,1638609496
51,New Norfolk,-42.7826,147.0587,55.65,42,17,4.32,AU,1638609489
52,São João da Barra,-21.6403,-41.0511,68.74,90,20,7.49,BR,1638609517
53,Biograd na Moru,43.9433,15.4519,45.3,52,92,3.04,HR,1638609664
54,Hermanus,-34.4187,19.2345,70.9,64,100,19.69,ZA,1638609494
55,Avarua,-21.2078,-159.775,73.45,100,100,1.14,CK,1638609491
